23
-0.5    0.25    1    0.005
-0.5    0.25    0.005    0.5
+0.5    0.25    0.005    0.5
-0.5    -0.25    1    0.005
-0.5	0.25	0.1	0.15
-0.5	0.1	0.075	0.35
-0.5	-0.15	0.25	0.1
-0.5	0.25	0.7	0.05
-0.25	0.25	0.05	0.2
-0.25	-0.05	0.05	0.2
-0.325	0.1	0.025	0.2
-0.2 -0.2 0.25 0.05
0.05	0.25	0.25	0.1
-0.2	0.2	0.1	0.1
-0.425	-0.1	0.075	0.15
0.2	0.15	0.2	0.075
0.3	0.25	0.1	0.125
-0.05	-0.1	0.1	0.15
0.05	-0.1	0.1	0.05
0.2	-0.2	0.05	0.05
0.25	-0.15	0.2	0.1
0.35	-0.1	0.1	 0.05
0.45	0.05	0.05	0.3
END
-1    0.5    2    0.01
-1    0.5    0.01    1
+1    0.5    0.01    1
-1    -0.5    2    0.01
-1	0.5	0.2	0.3
-1	0.2	0.15	0.7
-1	-0.3	0.5	0.2
-1	0.5	1.4	0.1
-0.5	0.5	0.1	0.4
-0.5	-0.1	0.1	0.4
-0.65	0.2	0.05	0.4
-0.4 -0.4 0.5 0.1
0.1	0.5	0.5	0.2
-0.4	0.4	0.2	0.2
-0.85	-0.2	0.15	0.3
0.4	0.3	0.4	0.3
0.6	0.5	0.2	0.5
-0.1	-0.2	0.2	0.3
0.1	-0.2	0.2	0.1
0.4	-0.4	0.1	0.1
0.5	-0.3	0.4	0.2
0.7	-0.2	0.2	0.1
0.9	0.1	0.1	0.6
